Created with UCDetector 1.10.0	2015-09-11 20:13:13	http://www.ucdetector.org/	
com.adaptavant.distributedsource.service.CustomFieldService.deleteCustomFields(CustomFieldService.java:1073)	Change visibility of Method "CustomFieldService.deleteCustomFields(String,StringBuilder,String,List<String>)" to default	CustomFieldService.deleteCustomFields(String,StringBuilder,String,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.CustomFieldService.updateCustomFieldsAndSearchIndexForLeadToContact(CustomFieldService.java:1308)	Change visibility of Method "CustomFieldService.updateCustomFieldsAndSearchIndexForLeadToContact(String,StringBuilder,Contact,Entity)" to default	CustomFieldService.updateCustomFieldsAndSearchIndexForLeadToContact(String,StringBuilder,Contact,Entity)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.CustomFieldService.updateLinkedCustomFieldsForDealToAccount(CustomFieldService.java:1420)	Change visibility of Method "CustomFieldService.updateLinkedCustomFieldsForDealToAccount(String,StringBuilder,Account,List<String>)" to default	CustomFieldService.updateLinkedCustomFieldsForDealToAccount(String,StringBuilder,Account,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.CustomFieldService.upsertCustomFieldsForContact_v2(CustomFieldService.java:1725)	Change visibility of Method "CustomFieldService.upsertCustomFieldsForContact_v2(String,StringBuilder,String,String,*,*,*)" to default	CustomFieldService.upsertCustomFieldsForContact_v2(String,StringBuilder,String,String,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.CustomFieldService.updateMonthlyBillingCustomField(CustomFieldService.java:1958)	Change visibility of Method "CustomFieldService.updateMonthlyBillingCustomField(String,StringBuilder,String,NewCustomers,*,*)" to default	CustomFieldService.updateMonthlyBillingCustomField(String,StringBuilder,String,NewCustomers,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SkillSetService.<init>(SkillSetService.java:21)	Change visibility of Class "SkillSetService" to default - May cause compile errors!	SkillSetService	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SkillSetService.assignSkillToAnAgent(SkillSetService.java:26)	Change visibility of Method "SkillSetService.assignSkillToAnAgent(String,StringBuilder,String,String,*,*,*,*)" to default	SkillSetService.assignSkillToAnAgent(String,StringBuilder,String,String,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SkillSetService.getPeopleSkillSetJDOBySkillSetId(SkillSetService.java:105)	Change visibility of Method "SkillSetService.getPeopleSkillSetJDOBySkillSetId(Contact,String,String)" to private	SkillSetService.getPeopleSkillSetJDOBySkillSetId(Contact,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.SkillSetService.createNewPeopleSkillSetJDO(SkillSetService.java:134)	Change visibility of Method "SkillSetService.createNewPeopleSkillSetJDO(String,String,String,String,String)" to private	SkillSetService.createNewPeopleSkillSetJDO(String,String,String,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.SkillSetService.assignOrUpdateSkills(SkillSetService.java:155)	Change visibility of Method "SkillSetService.assignOrUpdateSkills(String,StringBuilder,HashMap,String,*,*,*)" to default	SkillSetService.assignOrUpdateSkills(String,StringBuilder,HashMap,String,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
